title; tags; date; status; subject; chapterWeek; coverImage; unit; prior; next; reading; bookTitle; studentDeliverableS; semester; relations; note; reference
L - Module 3: Finding Your Way Through Campus Talk; Module, Listening, EnglishSkillDevelopment; 2026-08-24T00:00:00.000Z -> 2026-08-30T00:00:00.000Z; InBox; Listening I; 3; Ciudad-Universitaria-62-2048x1365; Listening I Unit I: Building a Foundation; L - Module 2: Following the Rhythm of Everyday Life; L - Module 4: Turning Short Messages into Usable Information; ; Finding Your Way Through Campus Talk; ; Fall 2026; ; Listening I Chapter 3 Note; ./L%20-%20Module%203%20Finding%20Your%20Way%20Through%20Campus%20Talk.md
L - Module 4: Turning Short Messages into Usable Information; Module, Listening, EnglishSkillDevelopment; 2026-08-31T00:00:00.000Z -> 2026-09-06T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit I: Building a Foundation; L - Module 3: Finding Your Way Through Campus Talk; L - Chapter 5: Listening with a Study Purpose; ; Turning Short Messages into Usable Information; ; Fall 2026; ; Listening I Module 4 Note; ./L%20-%20Module%204%20Turning%20Short%20Messages%20into%20Usable%20Information.md
L - Module 2: Following the Rhythm of Everyday Life; Module, Listening, EnglishSkillDevelopment; 2026-08-17T00:00:00.000Z -> 2026-08-23T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit I: Building a Foundation; L - Module 1: Listening Begins Before the Audio; L - Module 3: Finding Your Way Through Campus Talk; ; Following the Rhythm of Everyday Life; ; Fall 2026; ; Listening I Week 2 Note; ./L%20-%20Module%202%20Following%20the%20Rhythm%20of%20Everyday%20Life.md
L - Module 1: Listening Begins Before the Audio; Listening, EnglishSkillDevelopment; 2026-08-10T00:00:00.000Z -> 2026-08-16T00:00:00.000Z; Ready; Listening I; 1; Ciudad-Universitaria-62-2048x1365; Listening I Unit I: Building a Foundation; ; L - Module 2: Following the Rhythm of Everyday Life; ; Listening Begins Before the Audio; ; Fall 2026; ; Listening I Week 1 Note; ./L%20-%20Module%201%20Listening%20Begins%20Before%20the%20Audio.md
L-Chapter 9: Listening Beyond the Stated Words; Module, Listening, EnglishSkillDevelopment; 2026-10-05T00:00:00.000Z -> 2026-10-11T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit III: Listening Beyond Words; L-Chapter 8: Building a Complete Listening Record; L-Chapter 10: Connecting the Stops in a Journey; ; Listening Beyond the Stated Words; ; Fall 2026; ; ; ./L-Chapter%209%20Listening%20Beyond%20the%20Stated%20Words.md
L-Chapter 12: Choosing Strategies Without Waiting for Directions; Module, Listening, EnglishSkillDevelopment; 2026-10-26T00:00:00.000Z -> 2026-11-01T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit III: Listening Beyond Words; L-Chapter 11: Recognizing English as It Is Actually Spoken; L-Chapter 13: Listening as a Member of a Team; ; Choosing Strategies Without Waiting for Directions; ; Fall 2026; ; ; ./L-Chapter%2012%20Choosing%20Strategies%20Without%20Waiting%20for%20Directions.md
L-Chapter 16: From Course Strategies to Real-Life Listening; Module, Listening, EnglishSkillDevelopment; 2026-11-23T00:00:00.000Z -> 2026-11-29T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit IV: Collaboration, Problem-Solving, and Community; L- Chapter 15: Listening to the Community You Live In; Listening I Module 17; ; From Course Strategies to Real-Life Listening; ; Fall 2026; ; ; ./L-Chapter%2016%20From%20Course%20Strategies%20to%20Real-Life%20Listening.md
L-Chapter 7: Selecting What Matters in Digital Talk; Module, Listening, EnglishSkillDevelopment; 2026-09-21T00:00:00.000Z -> 2026-09-27T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit II: Listening with Purpose; L - Chapter 6: Hearing Preferences, Opinions, and Order; L-Chapter 8: Building a Complete Listening Record; ; Selecting What Matters in Digital Talk; ; Fall 2026; ; ; ./L-Chapter%207%20Selecting%20What%20Matters%20in%20Digital%20Talk.md
L- Chapter 15: Listening to the Community You Live In; Module, Listening, EnglishSkillDevelopment; 2026-11-16T00:00:00.000Z -> 2026-11-22T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit IV: Collaboration, Problem-Solving, and Community; L-Chapter 14: Listening for a Way Forward; L-Chapter 16: From Course Strategies to Real-Life Listening; ; Listening to the Community You Live In; ; Fall 2026; ; ; ./L-%20Chapter%2015%20Listening%20to%20the%20Community%20You%20Live%20In.md
Listening I Module 17; Module, Listening, EnglishSkillDevelopment; 2026-11-30T00:00:00.000Z -> 2026-12-06T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit IV: Collaboration, Problem-Solving, and Community; L-Chapter 16: From Course Strategies to Real-Life Listening; ; ; ; ; Fall 2026; ; ; ./Listening%20I%20Module%2017.md
L-Chapter 11: Recognizing English as It Is Actually Spoken; Module, Listening, EnglishSkillDevelopment; 2026-10-19T00:00:00.000Z -> 2026-10-25T00:00:00.000Z; InBox; Listening I; ; Ciudad-Universitaria-62-2048x1365; Listening I Unit III: Listening Beyond Words; L-Chapter 10: Connecting the Stops in a Journey; L-Chapter 12: Choosing Strategies Without Waiting for Directions; ; Recognizing English as It Is Actually Spoken; ; Fall 2026; ; ; ./L-Chapter%2011%20Recognizing%20English%20as%20It%20Is%20Actually%20Spoken.md
