title; tags; date; status; subject; chapterWeek; coverImage; unit; prior; next; reading; bookTitle; studentDeliverableS; semester; relations; note; reference
Thesis Seminar Module 10: Method V - Holy Week; Module, Archive; 2026-03-30T00:00:00.000Z -> 2026-04-05T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar-Module 9: Method IV; Thesis Seminar Module 11: Method VI; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2010%20Method%20V%20-%20Holy%20Week.md
Thesis Seminar-Module 9: Method IV; Module, Archive; 2026-03-23T00:00:00.000Z -> 2026-03-29T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 8: Method III; Thesis Seminar Module 10: Method V - Holy Week; ; ; ; ; ; ; ./Thesis%20Seminar-Module%209%20Method%20IV.md
Thesis Seminar Module 16: Mock Presentations (Feedback); Module, Archive; 2026-05-25T00:00:00.000Z -> 2026-05-31T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 15: Results & Discussion III; ; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2016%20Mock%20Presentations%20(Feedback).md
Thesis Seminar Module 14: Results & Discussion II; Module, Archive; 2026-05-11T00:00:00.000Z -> 2026-05-17T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 13: Results & Discussion I; Thesis Seminar Module 15: Results & Discussion III; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2014%20Results%20&%20Discussion%20II.md
Thesis Seminar Module 11: Method VI; Module, Archive; 2026-04-06T00:00:00.000Z -> 2026-04-12T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 10: Method V - Holy Week; Thesis Seminar Module 12: Method VI; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2011%20Method%20VI.md
Thesis Seminar Module 3: Building Your Argument with MEAL Structure and Source Integration; Module, Archive; 2026-02-09T00:00:00.000Z -> 2026-02-15T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 2: Organizing Your Sources and Refining Your Argument; Thesis Seminar Module 4:  Assembling Your Literature Review — Logic, Completeness, and Analysis; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%203%20Building%20Your%20Argument%20with%20MEAL%20Structure%20and%20Source%20I.md
Thesis Seminar Module 15: Results & Discussion III; Module, Archive; 2026-05-18T00:00:00.000Z -> 2026-05-24T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 14: Results & Discussion II; Thesis Seminar Module 16: Mock Presentations (Feedback); ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2015%20Results%20&%20Discussion%20III.md
Thesis Seminar Module 2: Organizing Your Sources and Refining Your Argument; Module, Archive; 2026-02-02T00:00:00.000Z -> 2026-02-08T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 1: Identifying Your Research Problem; Thesis Seminar Module 3: Building Your Argument with MEAL Structure and Source Integration; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%202%20Organizing%20Your%20Sources%20and%20Refining%20Your%20Argument.md
Thesis Seminar Module 12: Method VI; Module, Archive; 2026-04-13T00:00:00.000Z -> 2026-04-19T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 11: Method VI; Thesis Seminar Module 13: Results & Discussion I; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2012%20Method%20VI.md
Thesis Seminar Module 6: Method I; Module, Archive; 2026-03-02T00:00:00.000Z -> 2026-03-08T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 5: Literature Final Review; Thesis Seminar Module 7: Method II; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%206%20Method%20I.md
Thesis Seminar Module 4:  Assembling Your Literature Review — Logic, Completeness, and Analysis; Module, Archive; 2026-02-16T00:00:00.000Z -> 2026-02-22T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 3: Building Your Argument with MEAL Structure and Source Integration; Thesis Seminar Module 5: Literature Final Review; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%204%20%20Assembling%20Your%20Literature%20Review%20%E2%80%94%20Logic,%20Completenes.md
Thesis Seminar Module 5: Literature Final Review; Module, Archive; 2026-02-23T00:00:00.000Z -> 2026-03-01T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 4:  Assembling Your Literature Review — Logic, Completeness, and Analysis; Thesis Seminar Module 6: Method I; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%205%20Literature%20Final%20Review.md
Thesis Seminar Module 1: Identifying Your Research Problem; Module, Archive; 2026-01-26T00:00:00.000Z -> 2026-02-01T00:00:00.000Z; ; Thesis Seminar; ; ; ; ; Thesis Seminar Module 2: Organizing Your Sources and Refining Your Argument; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%201%20Identifying%20Your%20Research%20Problem.md
Thesis Seminar Module 13: Results & Discussion I; Module, Archive; 2026-05-04T00:00:00.000Z -> 2026-05-10T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 12: Method VI; Thesis Seminar Module 14: Results & Discussion II; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%2013%20Results%20&%20Discussion%20I.md
Thesis Seminar Module 8: Method III; Module, Archive; 2026-03-16T00:00:00.000Z -> 2026-03-22T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 7: Method II; Thesis Seminar-Module 9: Method IV; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%208%20Method%20III.md
Thesis Seminar Module 7: Method II; Module, Archive; 2026-03-09T00:00:00.000Z -> 2026-03-15T00:00:00.000Z; ; Thesis Seminar; ; ; ; Thesis Seminar Module 6: Method I; Thesis Seminar Module 8: Method III; ; ; ; ; ; ; ./Thesis%20Seminar%20Module%207%20Method%20II.md
