title; tags; date; status; subject; chapterWeek; coverImage; unit; prior; next; reading; bookTitle; studentDeliverableS; semester; relations; note; reference
AW-Module 3: Reporting Research with Accuracy and Caution; Module; 2026-08-24T00:00:00.000Z -> 2026-08-30T00:00:00.000Z; Ready; Academic Writing; 3; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit II; AW-Module 2: From Broad Interest to Researchable Proposal; AW-Module 4: Building Academic Flow; ; ; ; Fall 2026; ; AW-Module 3 Note; ./AW-Module%203%20Reporting%20Research%20with%20Accuracy%20and%20Caution.md
AW-Module 1: Academic Integrity and Cognitive Ownership; Writing, Research; 2026-08-10T00:00:00.000Z -> 2026-08-16T00:00:00.000Z; Ready; Academic Writing; 1; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit I; ; AW-Module 2: From Broad Interest to Researchable Proposal; ; Entering the Academic Writing Learning Environment; ; Fall 2026; ; AW-Week 1; ./AW-Module%201%20Academic%20Integrity%20and%20Cognitive%20Ownership.md
AW-Module 2: From Broad Interest to Researchable Proposal; Module; 2026-08-17T00:00:00.000Z -> 2026-08-23T00:00:00.000Z; InBox; Academic Writing; 2; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit I; AW-Module 1: Academic Integrity and Cognitive Ownership; AW-Module 3: Reporting Research with Accuracy and Caution; ; ; ; Fall 2026; ; ; ./AW-Module%202%20From%20Broad%20Interest%20to%20Researchable%20Proposal.md
Chapter 14: Concluding and Formatting the Review; Module; 2026-11-09T00:00:00.000Z -> 2026-11-15T00:00:00.000Z; InBox; Academic Writing; 14; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit IV; Chapter 13: Building a Unified Body; Chapter 15: Peer Review and AI as a Critical Friend; ; Concluding and Formatting the Review; ; Fall 2026; ; ; ./Chapter%2014%20Concluding%20and%20Formatting%20the%20Review.md
Chapter 8: Mapping and Curating the Literature; Module; 2026-09-28T00:00:00.000Z -> 2026-10-04T00:00:00.000Z; InBox; Academic Writing; 8; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit III; Chapter 7: Reading Sources Critically; Chapter 9: Designing the Literature Review; ; Mapping and Curating the Literature; ; Fall 2026; ; ; ./Chapter%208%20Mapping%20and%20Curating%20the%20Literature.md
Chapter 7: Reading Sources Critically; Module; 2026-09-21T00:00:00.000Z -> 2026-09-27T00:00:00.000Z; InBox; Academic Writing; 7; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit III; Chapter 6: Revising for Precision, Coherence, and Critical Voice; Chapter 8: Mapping and Curating the Literature; ; Reading Sources Critically; ; Fall 2026; ; ; ./Chapter%207%20Reading%20Sources%20Critically.md
Chapter 11: Comparing, Contrasting, and Interpreting; Module; 2026-10-19T00:00:00.000Z -> 2026-10-25T00:00:00.000Z; InBox; Academic Writing; 11; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit IV; Chapter 10: Opening the Scholarly Conversation; Chapter 12: Patterns, Gaps, and Context; ; Comparing, Contrasting, and Interpreting; ; Fall 2026; ; ; ./Chapter%2011%20Comparing,%20Contrasting,%20and%20Interpreting.md
Academic Writing Module 17; Module; 2026-11-30T00:00:00.000Z -> 2026-12-06T00:00:00.000Z; InBox; Academic Writing; ; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit IV; Chapter 16: Final Revision and Reflective Submission; ; ; ; ; Fall 2026; ; ; ./Academic%20Writing%20Module%2017.md
Chapter 13: Building a Unified Body; Module; 2026-11-02T00:00:00.000Z -> 2026-11-08T00:00:00.000Z; InBox; Academic Writing; 13; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit IV; Chapter 12: Patterns, Gaps, and Context; Chapter 14: Concluding and Formatting the Review; ; Building a Unified Body; ; Fall 2026; ; ; ./Chapter%2013%20Building%20a%20Unified%20Body.md
AW-Module 4: Building Academic Flow; Module; 2026-08-31T00:00:00.000Z -> 2026-09-06T00:00:00.000Z; InBox; Academic Writing; 4; Ciudad-Universitaria-62-2048x1365; Academic Writing Unit II; AW-Module 3: Reporting Research with Accuracy and Caution; Chapter 5: Integrating Sources and Building Arguments; ; Building Academic Flow; ; Fall 2026; ; ; ./AW-Module%204%20Building%20Academic%20Flow.md
